Carimbo de data/hora,"Sabendo dessas informações, você consente que usemos seus dados aqui para uso exclusivo da nossa pesquisa acadêmica?",Marque a sua faixa etária:,Qual é o Campus do seu Curso?,Qual seu Curso de Graduação?,Qual período você esta cursando atualmente?,Você trabalha ou estagia?,"Se você trabalha ou estagia, qual a sua modalidade de trabalho?",Você participa de algum projeto de extensão?,"Caso não participe, aponte até 2 principais motivos",Selecione até 3 tipos de projetos ou atividades extracurriculares você mais se interessa,Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Sites da Proex],"Caso use outro meio, escreva-o abaixo",Você sente facilidade em se comunicar com professores e alunos de cursos de áreas diferentes?,"Se existisse uma plataforma que divulgasse somente os projetos de extensão dentre diferentes cursos, você acredita que aumentaria a visibilidade dos projetos?",Qual o principal meio que você busca por informações sobre oportunidades de projetos e atividades extracurriculares? [Linha 2],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Contato diretamente com professor],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [E-mails da coordenação],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Mural no prédio da faculdade],Qual o principal meio que você busca por informações sobre oportunidades de projetos e atividades extracurriculares? [Linha 5]
30/09/2023 18:03:40,Sim.,18 - 24 anos,Campus Niterói,Ciências Econômicas - Bacharelado - Presencial,5º período,Não.,,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de serviço comunitário, Projetos de pesquisa, Atividades culturais",Eficiente,,"Sim, mas somente com os alunos","Sim, bastante",,Muito eficiente,Eficiente,Pouco eficiente,
30/09/2023 18:12:32,Sim.,25 - 34 anos,Campus Niterói,Ciências Econômicas - Bacharelado - Presencial,1º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).",Não consigo achar nenhum projeto,"Projetos de pesquisa, Atividades culturais, Projetos de empreendedorismo",Nada eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, um pouco",,Nada eficiente,Nada eficiente,Nada eficiente,
30/09/2023 18:14:37,Sim.,18 - 24 anos,Campus Niterói,Engenharia de Recursos Hídricos e do Meio Ambiente - Bacharelado - Presencial,8º período,"Sim, aproximadamente 40h semanais.",Híbrido.,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de serviço comunitário, Projetos de empreendedorismo",Nada eficiente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Pouco eficiente,Nada eficiente,Nada eficiente,
30/09/2023 18:17:18,Sim.,18 - 24 anos,Campus Niterói,Engenharia Mecânica - Bacharelado - Presencial,1º período,Não.,,Não participo e não tenho interesse no momento.,Piorizo outras atividades no momento,Projetos de empreendedorismo,Nada eficiente,,"Sim, sinto facilidade de me comunicar com ambos",Indiferente,,Muito eficiente,Muito eficiente,Pouco eficiente,
30/09/2023 18:20:29,Sim.,18 - 24 anos,Campus Niterói,Ciências Econômicas - Bacharelado - Presencial,2º período,Não.,,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Não consigo achar nenhum projeto, Piorizo outras atividades no momento","Projetos de serviço comunitário, Projetos de pesquisa, Projetos de empreendedorismo",Pouco eficiente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, bastante",,Pouco eficiente,Pouco eficiente,Pouco eficiente,
30/09/2023 18:28:27,Sim.,18 - 24 anos,Campus Niterói,Ciências Econômicas - Bacharelado - Presencial,1º período,Não.,,"Não participo, mas tenho interesse somente em projetos com bolsa.",Piorizo outras atividades no momento,"Projetos de serviço comunitário, Projetos de pesquisa, Projetos de empreendedorismo",Indiferente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Indiferente,Eficiente,
30/09/2023 18:41:21,Sim.,18 - 24 anos,Campus Niterói,Direito - Bacharelado - Presencial,4º período,Não.,,Não participo e não tenho interesse no momento.,Apenas não quero,"Projetos de pesquisa, Atividades culturais",Indiferente,,Não tenho costume de interagir com pessoas de outras áreas,"Sim, um pouco",,Eficiente,Eficiente,Muito eficiente,
30/09/2023 18:43:01,Sim.,18 - 24 anos,Campus Niterói,Geografia - Licenciatura - Presencial,5º período,"Sim, aproximadamente 20h semanais.",Presencial.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Não consigo achar nenhum projeto, Piorizo outras atividades no momento","Projetos de serviço comunitário, Projetos de pesquisa, Atividades culturais",Nada eficiente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Indiferente,Pouco eficiente,Pouco eficiente,
30/09/2023 18:43:34,Sim.,18 - 24 anos,Campus Niterói,Engenharia Elétrica - Bacharelado - Presencial,6º período,"Sim, aproximadamente 20h semanais.",Híbrido.,Não participo e não tenho interesse no momento.,"Falta de tempo, Piorizo outras atividades no momento",Projetos de empreendedorismo,Eficiente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Eficiente,Eficiente,Eficiente,
30/09/2023 18:46:54,Sim.,18 - 24 anos,Campus Niterói,Processos Gerenciais - Tecnológico - Presencial,4º período,"Sim, aproximadamente 30h semanais.",Híbrido.,Não participo e não tenho interesse no momento.,"Falta de tempo, Piorizo outras atividades no momento","Projetos de serviço comunitário, Atividades culturais",Indiferente,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Muito eficiente,Eficiente,Indiferente,
